::1 - POST - /api/Libros1 - 10/11/2023 9:56:05
::1 - POST - /api/Libros1 - 10/11/2023 9:56:28
::1 - POST - /api/Libros1 - 10/11/2023 9:56:45
::1 - POST - /api/Libros1 - 10/11/2023 9:56:55
::1 - POST - /Libros/varios - 10/11/2023 9:58:21
::1 - POST - /Libros - 10/11/2023 10:00:05
::1 - POST - /Libros - 10/11/2023 10:00:39
::1 - POST - /Libros - 10/11/2023 10:00:59
::1 - POST - /Libros - 10/11/2023 10:01:13
::1 - POST - /Libros - 10/11/2023 10:01:21
::1 - GET - /Libros/53453472375 - 10/11/2023 10:01:51
::1 - GET - /Libros - 10/11/2023 10:15:55
::1 - POST - /Libros - 10/11/2023 10:17:30
::1 - POST - /Libros - 10/11/2023 10:17:35
::1 - 10/11/2023 12:12:16 -  /Libros - POST
::1 - 10/11/2023 12:12:42 -  /Libros - POST
::1 - 10/11/2023 12:30:43 -  /Libros - POST
::1 - 10/11/2023 12:31:10 -  /Libros - POST
::1 - 10/11/2023 12:38:37 -  /Libros - GET
::1 - 10/11/2023 12:39:06 -  /Libros - GET
::1 - 10/11/2023 12:40:25 -  /Libros - GET
::1 - 10/11/2023 12:41:51 -  /Libros - GET
::1 - 10/11/2023 12:41:53 -  /Libros - GET
::1 - 10/11/2023 12:41:54 -  /Libros - GET
::1 - 10/11/2023 12:42:29 -  /Libros - GET
::1 - 10/11/2023 12:42:30 -  /Libros - GET
::1 - 10/11/2023 12:44:02 -  /Libros - GET
ApiMiBiblioteca
Error deliberado
::1 - 10/11/2023 12:44:36 -  /Libros - GET
ApiMiBiblioteca
Error deliberado
::1 - 10/11/2023 12:45:10 -  /Libros - GET
::1 - 10/11/2023 12:46:23 -  /api/Editoriales - GET
::1 - 10/11/2023 12:46:53 -  /Libros - GET
::1 - 10/11/2023 12:47:07 -  /API/Libros - GET
::1 - 10/11/2023 12:47:21 -  /API/Libros - GET
::1 - 10/11/2023 12:56:22 -  /API/Libros - GET
::1 - 10/11/2023 12:56:37 -  /API/Libros - GET
::1 - 10/11/2023 12:56:38 -  /API/Libros - GET
::1 - 10/11/2023 12:57:00 -  /Libros - GET
::1 - 10/11/2023 12:57:02 -  /Libros - GET
::1 - 10/11/2023 12:57:34 -  /API/Libros - GET
::1 - 10/11/2023 12:57:35 -  /API/Libros - GET
::1 - 10/11/2023 13:03:01 -  /Libros/345 - GET
::1 - 10/11/2023 13:04:01 -  /Libros/345 - GET
::1 - 10/11/2023 13:04:18 -  /Libros/2343 - GET
::1 - 10/11/2023 13:04:22 -  /Libros/2343234 - GET
::1 - 10/11/2023 13:04:28 -  /Libros/1 - GET
::1 - 13/11/2023 9:41:03 -  /Libros - GET

127.0.0.1 - 13/11/2023 9:41:20 -  /Libros - GET

127.0.0.1 - 13/11/2023 9:41:44 -  /Libros - GET

127.0.0.1 - 13/11/2023 9:41:56 -  /Libros - GET

::1 - 13/11/2023 9:42:56 -  /Libros - GET

::1 - 13/11/2023 9:42:57 -  /Libros - GET

127.0.0.1 - 13/11/2023 9:43:06 -  /Libros - GET

127.0.0.1 - 13/11/2023 9:43:06 -  /Libros - GET

::1 - 13/11/2023 9:48:00 -  /api/Editoriales - GET

::1 - 13/11/2023 9:48:36 -  /api/Autores - GET

127.0.0.1 - 13/11/2023 9:48:47 -  /api/Autores - GET

